商	make a deal; selling; dealing in; merchant	しょう	あきな.う	N3	3	11
問	question; ask; problem	もん	と.う・と.い・とん	N4	3	11
宿	inn; lodging; relay station; dwell	しゅく	やど・やど.る・やど.す	N3	3	11
帳	notebook; account book; album; curtain	ちょう	とばり	N1	3	11
悪	bad; vice; rascal; false	あく・お	わる.い・わる-・あ.し・にく.い・-にく.い・ああ・いずくに・いずくんぞ・にく.む	N4	3	11
族	tribe; family	ぞく		N4	3	11
深	deep; heighten; intensify; strengthen	しん	ふか.い・-ぶか.い・ふか.まる・ふか.める・み-	N3	3	11
球	ball; sphere	きゅう	たま	N3	3	11
祭	ritual; offer prayers; celebrate; deify	さい	まつ.る・まつ.り・まつり	N2	3	11
章	badge; chapter; composition; poem	しょう		N2	3	11
笛	flute; clarinet; pipe; whistle	てき	ふえ	N1	3	11
第	no.; residence	だい・てい		N1	3	11
終	end; finish	しゅう	お.わる・-お.わる・おわ.る・お.える・つい・つい.に	N4	3	11
習	learn	しゅう・じゅ	なら.う・なら.い	N4	3	11
転	revolve; turn around; change	てん	ころ.がる・ころ.げる・ころ.がす・ころ.ぶ・まろ.ぶ・うたた・うつ.る・くる.めく	N4	3	11
進	advance; proceed; progress; promote	しん	すす.む・すす.める	N3	3	11
部	section; bureau; dept; class	ぶ	-べ	N3	3	11
都	metropolis; capital; all; everything	と・つ	みやこ	N3	3	11
勝	victory; win; prevail; excel	しょう	か.つ・-が.ち・まさ.る・すぐ.れる・かつ	N3	3	12
寒	cold	かん	さむ.い	N3	3	12
悲	grieve; sad; deplore; regret	ひ	かな.しい・かな.しむ	N3	3	12
暑	sultry; hot; summer heat	しょ	あつ.い	N1	3	12
